Well,x562,Run
A1,2.225,1
B1,2.124,1
C1,1.503,1
D1,1.787,1
E1,1.121,1
F1,1.26,1
G1,0.88,1
H1,0.929,1
A2,0.633,1
B2,0.636,1
C2,0.363,1
D2,0.378,1
E2,0.223,1
F2,0.24,1
G2,0.108,1
H2,0.104,1
A3,0.084,1
B3,0.086,1
C3,0.346,1
D3,0.331,1
E3,0.662,1
F3,0.715,1
G3,0.981,1
H3,0.997,1
A4,0.187,1
B4,0.182,1
C4,0.196,1
D4,0.197,1
E4,1.135,1
F4,1.177,1
G4,0.257,1
H4,0.277,1
A5,0.217,1
B5,0.227,1
C5,0.342,1
D5,0.327,1
E5,0.529,1
F5,0.529,1
G5,0.576,1
H5,0.597,1
A6,0.929,1
B6,0.913,1
C6,0.483,1
D6,0.486,1
E6,0.487,1
F6,0.491,1
G6,0.828,1
H6,0.861,1
A7,0.68,1
B7,0.652,1
C7,0.261,1
D7,0.27,1
E7,0.271,1
F7,0.269,1
G7,0.523,1
H7,0.553,1
A8,0.605,1
B8,0.605,1
C8,0.871,1
D8,0.886,1
E8,0.505,1
F8,0.502,1
G8,0.358,1
H8,0.363,1
A9,0.253,1
B9,0.238,1
C9,0.327,1
D9,0.335,1
E9,0.84,1
F9,0.873,1
G9,0.309,1
H9,0.31,1
A10,0.606,1
B10,0.622,1
C10,1.543,1
D10,1.587,1
E10,0.501,1
F10,0.504,1
G10,0.908,1
H10,0.915,1
A11,0.428,1
B11,0.45,1
C11,0.286,1
D11,0.302,1
E11,0.238,1
F11,0.233,1
G11,0.691,1
H11,0.727,1
A12,0.577,1
B12,0.507,1
C12,0.225,1
D12,0.227,1
E12,0.622,1
F12,0.672,1
G12,0.588,1
H12,0.667,1
A1,2.057,2
B1,2.052,2
C1,1.761,2
D1,1.86,2
E1,1.215,2
F1,1.168,2
G1,0.915,2
H1,1.078,2
A2,0.937,2
B2,0.724,2
C2,0.396,2
D2,0.392,2
E2,0.231,2
F2,0.237,2
G2,0.102,2
H2,0.102,2
A3,0.082,2
B3,0.085,2
C3,0.358,2
D3,0.368,2
E3,0.631,2
F3,0.658,2
G3,0.259,2
H3,0.275,2
A4,0.529,2
B4,0.522,2
C4,0.437,2
D4,0.446,2
E4,1.059,2
F4,1.101,2
G4,0.967,2
H4,0.981,2
A5,0.592,2
B5,0.57,2
C5,0.978,2
D5,1.037,2
E5,0.772,2
F5,0.785,2
G5,0.958,2
H5,1,2
A6,0.368,2
B6,0.33,2
C6,0.416,2
D6,0.464,2
E6,0.778,2
F6,0.787,2
G6,0.604,2
H6,0.599,2
A7,0.277,2
B7,0.218,2
C7,0.456,2
D7,0.466,2
E7,1.065,2
F7,1.07,2
G7,0.755,2
H7,0.76,2
A8,1.204,2
B8,1.209,2
C8,0.457,2
D8,0.456,2
E8,0.265,2
F8,0.256,2
G8,0.594,2
H8,0.625,2
A9,0.717,2
B9,0.508,2
C9,1.016,2
D9,1.022,2
E9,1.1,2
F9,1.145,2
G9,0.978,2
H9,1.007,2
A10,0.635,2
B10,0.623,2
C10,0.492,2
D10,0.48,2
E10,0.545,2
F10,0.573,2
G10,0.298,2
H10,0.29,2
A11,0.933,2
B11,0.993,2
C11,0.389,2
D11,0.391,2
E11,0.378,2
F11,0.361,2
G11,1.588,2
H11,1.567,2
A12,0.436,2
B12,0.427,2
C12,0.352,2
D12,0.308,2
E12,0.356,2
F12,0.358,2
G12,0.424,2
H12,0.427,2
A1,2.032,3
B1,2.757,3
C1,1.629,3
D1,1.96,3
E1,1.16,3
F1,1.313,3
G1,0.893,3
H1,1.01,3
A2,0.648,3
B2,0.641,3
C2,0.358,3
D2,0.375,3
E2,0.229,3
F2,0.234,3
G2,0.1,3
H2,0.101,3
A3,0.081,3
B3,0.083,3
C3,0.585,3
D3,0.584,3
E3,1.769,3
F3,1.869,3
G3,0.212,3
H3,0.221,3
A4,0.2,3
B4,0.2,3
C4,0.295,3
D4,0.3,3
E4,0.607,3
F4,0.623,3
G4,0.523,3
H4,0.541,3
A5,0.586,3
B5,0.579,3
C5,0.441,3
D5,0.478,3
E5,0.607,3
F5,0.623,3
G5,0.398,3
H5,0.419,3
A6,0.526,3
B6,0.516,3
C6,0.432,3
D6,0.438,3
E6,0.346,3
F6,0.33,3
G6,0.364,3
H6,0.35,3
A7,0.843,3
B7,0.843,3
C7,0.615,3
D7,0.634,3
E7,0.988,3
F7,0.979,3
G7,0.263,3
H7,0.271,3
A8,0.338,3
B8,0.335,3
C8,0.379,3
D8,0.383,3
E8,0.522,3
F8,0.551,3
G8,0.597,3
H8,0.608,3
A9,0.27,3
B9,0.27,3
C9,0.622,3
D9,0.64,3
E9,0.414,3
F9,0.416,3
G9,0.31,3
H9,0.327,3
A10,0.636,3
B10,0.614,3
C10,0.589,3
D10,0.591,3
E10,0.296,3
F10,0.288,3
G10,0.912,3
H10,0.969,3
A11,0.458,3
B11,0.482,3
C11,0.476,3
D11,0.465,3
E11,0.437,3
F11,0.444,3
G11,0.201,3
H11,0.187,3
A12,0.366,3
B12,0.364,3
C12,0.426,3
D12,0.429,3
E12,0.334,3
F12,0.341,3
G12,0.423,3
H12,0.438,3
A1,2.303,4
B1,2.039,4
C1,1.523,4
D1,1.523,4
E1,1.11,4
F1,1.201,4
G1,0.95,4
H1,0.975,4
A2,0.618,4
B2,0.613,4
C2,0.344,4
D2,0.359,4
E2,0.223,4
F2,0.225,4
G2,0.095,4
H2,0.106,4
A3,0.078,4
B3,0.08,4
C3,0.596,4
D3,0.6,4
E3,0.336,4
F3,0.362,4
G3,0.216,4
H3,0.224,4
A4,0.593,4
B4,0.628,4
C4,0.613,4
D4,0.62,4
E4,1.621,4
F4,1.679,4
G4,0.267,4
H4,0.281,4
A5,0.241,4
B5,0.24,4
C5,0.355,4
D5,0.361,4
E5,0.479,4
F5,0.448,4
G5,0.286,4
H5,0.306,4
A6,0.382,4
B6,0.395,4
C6,0.396,4
D6,0.35,4
E6,0.531,4
F6,0.545,4
G6,1.815,4
H6,1.941,4
A7,0.531,4
B7,0.515,4
C7,0.571,4
D7,0.608,4
E7,0.503,4
F7,0.5,4
G7,0.804,4
H7,0.883,4
A8,0.223,4
B8,0.208,4
C8,0.412,4
D8,0.425,4
E8,0.297,4
F8,0.302,4
G8,0.67,4
H8,0.72,4
A9,0.337,4
B9,0.342,4
C9,0.854,4
D9,0.866,4
E9,1.061,4
F9,1.117,4
G9,0.322,4
H9,0.321,4
A10,0.723,4
B10,0.728,4
C10,0.33,4
D10,0.276,4
E10,0.296,4
F10,0.251,4
G10,0.724,4
H10,0.772,4
A11,0.584,4
B11,0.586,4
C11,0.226,4
D11,0.219,4
E11,0.784,4
F11,0.802,4
G11,0.546,4
H11,0.565,4
A12,0.638,4
B12,0.669,4
C12,0.882,4
D12,0.929,4
E12,0.382,4
F12,0.329,4
G12,0.881,4
H12,0.935,4
A1,2.736,5
B1,2.19,5
C1,1.915,5
D1,1.994,5
E1,1.042,5
F1,1.303,5
G1,0.914,5
H1,1.001,5
A2,0.677,5
B2,0.955,5
C2,0.35,5
D2,0.396,5
E2,0.217,5
F2,0.224,5
G2,0.098,5
H2,0.096,5
A3,0.088,5
B3,0.089,5
C3,0.584,5
D3,0.601,5
E3,0.3,5
F3,0.293,5
G3,0.432,5
H3,0.419,5
A4,0.865,5
B4,0.895,5
C4,0.798,5
D4,0.762,5
E4,0.565,5
F4,0.604,5
G4,0.528,5
H4,0.525,5
A5,0.342,5
B5,0.33,5
C5,1.157,5
D5,1.271,5
E5,0.704,5
F5,0.743,5
G5,0.166,5
H5,0.158,5
A6,0.917,5
B6,0.918,5
C6,0.266,5
D6,0.262,5
E6,0.51,5
F6,0.515,5
G6,0.496,5
H6,0.475,5
A7,0.756,5
B7,0.747,5
C7,1.636,5
D7,1.64,5
E7,0.367,5
F7,0.365,5
G7,0.309,5
H7,0.313,5
A8,0.3,5
B8,0.317,5
C8,0.177,5
D8,0.171,5
E8,0.36,5
F8,0.359,5
G8,0.33,5
H8,0.295,5
A9,0.671,5
B9,0.467,5
C9,0.343,5
D9,0.338,5
E9,0.48,5
F9,0.488,5
G9,2.585,5
H9,2.736,5
A10,0.479,5
B10,0.491,5
C10,1.512,5
D10,1.543,5
E10,0.412,5
F10,0.416,5
G10,1.756,5
H10,1.516,5
A11,0.572,5
B11,0.582,5
C11,0.325,5
D11,0.319,5
E11,0.462,5
F11,0.47,5
G11,1.332,5
H11,1.322,5
A12,0.307,5
B12,0.278,5
C12,0.402,5
D12,0.405,5
E12,0.303,5
F12,0.288,5
G12,0.422,5
H12,0.439,5
A1,2.139,6
B1,2.169,6
C1,1.664,6
D1,1.696,6
E1,1.051,6
F1,1.118,6
G1,0.926,6
H1,0.941,6
A2,0.632,6
B2,0.645,6
C2,0.348,6
D2,0.456,6
E2,0.216,6
F2,0.223,6
G2,0.095,6
H2,0.093,6
A3,0.083,6
B3,0.086,6
C3,0.539,6
D3,0.577,6
E3,0.59,6
F3,0.608,6
G3,0.309,6
H3,0.325,6
A4,0.919,6
B4,0.931,6
C4,0.266,6
D4,0.278,6
E4,0.543,6
F4,0.547,6
G4,0.699,6
H4,0.759,6
A5,0.196,6
B5,1.78,6
C5,0.473,6
D5,0.483,6
E5,1.092,6
F5,1.07,6
G5,0.27,6
H5,0.281,6
A6,0.252,6
B6,0.231,6
C6,0.362,6
D6,0.37,6
E6,1.167,6
F6,1.181,6
G6,0.785,6
H6,0.811,6
A7,0.411,6
B7,0.407,6
C7,0.285,6
D7,0.287,6
E7,0.868,6
F7,0.869,6
G7,0.366,6
H7,0.376,6
A8,0.399,6
B8,0.385,6
C8,0.714,6
D8,0.735,6
E8,0.687,6
F8,0.716,6
G8,0.368,6
H8,0.384,6
A9,0.302,6
B9,0.286,6
C9,0.318,6
D9,0.336,6
E9,0.427,6
F9,0.434,6
G9,0.458,6
H9,0.46,6
A10,0.316,6
B10,0.287,6
C10,0.322,6
D10,0.283,6
E10,0.426,6
F10,0.431,6
G10,0.586,6
H10,0.619,6
A11,0.427,6
B11,0.324,6
C11,0.535,6
D11,0.434,6
E11,0.347,6
F11,0.351,6
G11,0.931,6
H11,0.995,6
A12,0.417,6
B12,0.429,6
C12,0.7,6
D12,0.63,6
E12,0.437,6
F12,0.45,6
G12,0.375,6
H12,0.395,6
A1,2.167,7
B1,2.097,7
C1,1.45,7
D1,1.605,7
E1,1.144,7
F1,1.398,7
G1,1.283,7
H1,0.804,7
A2,0.631,7
B2,0.619,7
C2,0.333,7
D2,0.343,7
E2,0.209,7
F2,0.208,7
G2,0.098,7
H2,0.099,7
A3,0.077,7
B3,0.079,7
C3,0.253,7
D3,0.262,7
E3,0.512,7
F3,0.51,7
G3,0.763,7
H3,0.787,7
A4,0.307,7
B4,0.321,7
C4,0.523,7
D4,0.5,7
E4,0.255,7
F4,0.267,7
G4,0.676,7
H4,0.717,7
A5,1.4,7
B5,1.453,7
C5,0.602,7
D5,0.634,7
E5,0.409,7
F5,0.436,7
G5,0.675,7
H5,0.724,7
A6,0.484,7
B6,0.504,7
C6,0.405,7
D6,0.406,7
E6,0.27,7
F6,0.28,7
G6,0.471,7
H6,0.513,7
A7,0.573,7
B7,0.557,7
C7,0.592,7
D7,0.633,7
E7,0.298,7
F7,0.269,7
G7,0.337,7
H7,0.382,7
A8,0.334,7
B8,0.367,7
C8,0.209,7
D8,0.213,7
E8,0.4,7
F8,0.403,7
G8,0.668,7
H8,0.711,7
A9,0.283,7
B9,0.281,7
C9,0.38,7
D9,0.399,7
E9,1.427,7
F9,1.441,7
G9,0.267,7
H9,0.277,7
A10,0.098,7
B10,0.096,7
C10,0.547,7
D10,0.59,7
E10,0.493,7
F10,0.476,7
G10,0.658,7
H10,0.679,7
A11,0.174,7
B11,0.158,7
C11,0.768,7
D11,0.774,7
E11,0.423,7
F11,0.411,7
G11,0.292,7
H11,0.287,7
A12,0.894,7
B12,0.914,7
C12,0.496,7
D12,0.513,7
E12,0.377,7
F12,0.382,7
G12,1.576,7
H12,1.697,7
A1,2.045,8
B1,2.135,8
C1,1.484,8
D1,1.587,8
E1,1.144,8
F1,1.222,8
G1,0.924,8
H1,0.946,8
A2,0.649,8
B2,0.685,8
C2,0.357,8
D2,0.359,8
E2,0.218,8
F2,0.217,8
G2,0.097,8
H2,0.097,8
A3,0.077,8
B3,0.079,8
C3,0.27,8
D3,0.268,8
E3,0.208,8
F3,0.208,8
G3,0.123,8
H3,0.125,8
A4,0.146,8
B4,0.162,8
C4,0.119,8
D4,0.118,8
E4,0.28,8
F4,0.296,8
G4,0.201,8
H4,0.203,8
A5,0.108,8
B5,0.11,8
C5,0.241,8
D5,0.235,8
E5,0.149,8
F5,0.148,8
G5,0.1,8
H5,0.102,8
A6,0.107,8
B6,0.13,8
C6,0.132,8
D6,0.127,8
E6,0.11,8
F6,0.105,8
G6,0.334,8
H6,0.342,8
A7,0.114,8
B7,0.113,8
C7,0.111,8
D7,0.104,8
E7,0.203,8
F7,0.213,8
G7,0.304,8
H7,0.301,8
A8,0.168,8
B8,0.171,8
C8,0.247,8
D8,0.249,8
E8,0.284,8
F8,0.284,8
G8,0.285,8
H8,0.282,8
A9,0.224,8
B9,0.223,8
C9,0.108,8
D9,0.104,8
E9,0.259,8
F9,0.256,8
G9,0.32,8
H9,0.336,8
A10,0.106,8
B10,0.102,8
C10,0.316,8
D10,0.318,8
E10,0.108,8
F10,0.099,8
G10,0.4,8
H10,0.418,8
A11,0.308,8
B11,0.303,8
C11,0.422,8
D11,0.426,8
E11,0.121,8
F11,0.11,8
G11,0.089,8
H11,0.088,8
A12,0.215,8
B12,0.201,8
C12,0.114,8
D12,0.112,8
E12,0.144,8
F12,0.136,8
G12,0.084,8
H12,0.081,8