"","MEblack","MEred","MEblue","MEcyan","MElightgreen","MEsalmon","MElightcyan","MEpink","MEgrey60","MEroyalblue","MEmidnightblue","MEbrown","MEpurple","MElightyellow","MEgreen","MEmagenta"
"M6",-0.189869990066037,-0.19007702159415,-0.282813427081088,-0.334457936369346,0.063459619061328,-0.00263733801585224,0.026572147796717,-0.167980381255039,0.172385398241144,0.209386403350781,0.189445759587023,0.280115015873983,0.255002068565981,-0.230409707130764,0.237623644998498,0.171691652156225
"M7",-0.175690175686693,-0.191182941269633,-0.231622934060562,-0.317187308951945,0.0454794919843423,-0.0166597839724411,0.0235897806491298,-0.167783668827398,0.144441787096931,0.175989283391551,0.170537885760321,0.267767464049393,0.227525896698461,-0.192835556228406,0.225693869474548,0.163341943996227
"M8",-0.18862964474183,-0.190966367607325,-0.278995243318665,-0.330527734115256,0.0550317631948521,-0.020640119585951,0.0151797631091389,-0.17299590779545,0.146545949673541,0.20154964568017,0.17425084014784,0.271486041552046,0.236774089724266,-0.216553260081496,0.230241588832723,0.155293904195
"M9",-0.171880264481173,-0.187155243442127,-0.216589149651107,-0.296029613315267,0.0569614535382053,-0.0253499641707463,0.00322780928590088,-0.178839731195747,0.160657363850593,0.202681365639082,0.181007384981254,0.274390737974295,0.241676757814668,-0.202853917833064,0.226029273376449,0.148816747148275
"M10",-0.119660282943976,-0.239073650061534,-0.0827936847924429,-0.291924312540159,-0.0627594531154141,-0.251465556522744,-0.275610154136182,-0.317305801855441,0.106342138052867,0.280804805814992,0.176158365545002,0.208730414471662,0.249095821053304,-0.199598403025819,0.0909353090884225,-0.157785392459434
"M11",-0.0576912030443342,-0.216862120521449,0.0827839923965413,-0.168985725737496,-0.219400555432403,-0.369733797023945,-0.39990024715532,-0.354199249218042,-0.0148883182853848,0.159043982796623,0.140441835074046,0.11627787313527,0.14036323123887,-0.192465872187903,-0.0254151876123053,-0.307659589690829
"M13",-0.174798261533631,-0.190340391887233,-0.256862180120701,-0.335083403246544,0.104448068823722,-0.0454971026838617,-0.0408680532723994,-0.186614118353783,0.213749070196636,0.328433725403029,0.226389631054459,0.299152464073439,0.296481471925173,-0.197980090264529,0.224528637339461,0.0805612805607286
"M14",0.286038898611051,0.168368743681946,0.0155836652324145,0.0359464207435403,0.151581414541998,0.0707402578262669,-0.107655632576261,0.00508043639404632,0.195093795610515,0.0550609185910352,-0.0952337101287412,-0.0258385708701822,0.0884016936745815,-0.151034847746363,-0.0968430605024398,-0.139308765729291
"M23",-0.155290880474415,-0.198372871375656,-0.186075620926307,-0.140200939408002,-0.0340171592129071,0.00416211323594257,0.0720057523207296,-0.126428126469793,0.0392610217920627,0.0905557662305032,0.142315163577784,0.228115964100955,0.161307026265296,0.219692032404316,0.220396613156535,0.202033117969911
"M24",-0.179657922984768,-0.215207211159644,-0.244411547310618,-0.153711031318963,-0.0120628977010189,-0.0193163051324126,0.032988113812667,-0.146584844786547,0.06461065135882,0.17422014587203,0.154034045328512,0.25905349526586,0.199580426459142,0.231470541410551,0.226695879288736,0.159258221717215
"M26",-0.0245477929015116,-0.168836303261792,0.121723592272192,0.0107803398315177,-0.28540449562245,-0.300273613503154,-0.224944373503702,-0.238009059272427,-0.161547381509815,-0.145948494368392,0.125999201694427,0.0439094182945255,0.00664572021650606,0.174298106050547,-0.0441647355837992,-0.106325999168554
"M28",-0.162525300649075,-0.206472080488937,-0.183116441230031,-0.0350585601220022,-0.108692344149021,-0.0465318030037425,0.0357205666164958,-0.119071087646896,-0.0460804946410847,0.0282717947065769,0.11841622746715,0.203959092980256,0.117992488684847,0.327150248238681,0.191942457584469,0.155452367796773
"M35",-0.130340387924435,-0.115121040799485,-0.0781658718566194,0.131376689015511,-0.205334264626584,0.0214479455924595,0.198797763916242,0.0909212822309208,-0.254060813944173,-0.287082787941809,-0.0657050332325598,0.038464456673896,-0.168193212316168,0.336014375572651,0.168312716385668,0.237474126790122
"M36",-0.113389999307666,-0.135903930709191,-0.0332890964166308,0.0953837382827441,-0.272683354742121,-0.0587953209475234,0.117307702370732,0.0299295043947038,-0.286401326419966,-0.32799443464068,-0.03830001266108,0.0173341590864007,-0.164078285943725,0.280490343646344,0.113983290345436,0.16610492157488
"M37",-0.0710012375134299,-0.116861098342229,0.0599967944685368,0.0887641179078296,-0.315771171196826,-0.136964574692293,0.0583159346651872,0.0126218209917897,-0.328633054089106,-0.382949894380978,-0.0237535400001184,-0.0610546968735772,-0.206562717050453,0.246330945418934,0.0222305000049005,0.0967287865166763
"M39",-0.117017939942871,-0.0542175259730505,-0.0338485859985009,0.137768388235673,-0.200890642350778,0.0556576202066198,0.246623990862164,0.178321917868409,-0.319303467902474,-0.320944182825287,-0.138875730759463,-0.0601433285456353,-0.26548502423942,0.278030192910365,0.127248186548739,0.223698217573739
"M47",0.151725932983241,0.0417712458241314,0.399736002320398,0.193201081458645,-0.214209083923345,-0.294594286357458,-0.29923061515779,-0.0897199673931003,-0.0776773235050125,-0.179546160362845,0.289201761622516,-0.146330650532617,0.0190107337010528,0.0465788010170594,-0.318192256797418,-0.334724739131299
"M48",0.138083963121872,0.0115404795661076,0.379985107590525,0.198333236523691,-0.265029363705642,-0.296936032561749,-0.22824818628673,-0.0642618369245422,-0.143225391397299,-0.209406175984191,0.275232002242777,-0.142844604311177,-0.0162576568679916,0.0818614982528087,-0.263379339932779,-0.255950746870983
"M51",-0.100037535092985,0.114475272783341,0.00530238129936472,0.1341430127393,0.0240632045598767,0.15938707060469,0.246266798158735,0.263540053375158,-0.231864004576967,-0.035957438978182,-0.24383070044915,-0.157375403916477,-0.294163400064978,0.0583838587816062,0.018963179930229,0.128223913562029
"M52",-0.103209754533459,0.161429027316359,-0.0474213845559967,0.119994449603151,0.160437677962343,0.305191369094705,0.389101978591275,0.355876149137936,-0.169843312420788,0.0431056701899982,-0.298340178306338,-0.129765350103761,-0.279995596434332,0.0951978683990798,0.108004591639935,0.250792301727027
"M60",-0.0693805031397503,0.190023521029081,-0.0257766766948719,0.117504188303857,0.185392986996819,0.285235373614443,0.31602303847965,0.321949489111168,-0.0972568318930459,0.0735189480540661,-0.282939620544361,-0.145414051480438,-0.247324606510909,0.0488420602265142,0.0428392646926895,0.169033255852
"M61",-0.0885812895662208,0.00161530245932906,0.0149457380482146,-0.0143679418722087,-0.0578456529339789,-0.0386080652145074,0.0213288073360021,0.0469223125565635,-0.0859672341572862,-0.0157807906710803,-0.0219921045564269,0.015057042208657,-0.0526450676628664,-0.0769684866414984,0.0075531756933056,-0.00238713662128229
"M62",-0.0562920110070862,0.183683782768717,0.0192633572997915,0.104700422952841,0.148649382648686,0.214708447798349,0.223773916112498,0.269825408613308,-0.118937920533566,0.0388384757642739,-0.24594043565989,-0.179167337522164,-0.253569770241089,0.00883159239752798,-0.0341743858147425,0.0749652318402308
"M63",0.10188802959365,0.0611259838219047,0.330231784661567,0.194881594768528,-0.162015884957304,-0.243364431784009,-0.210203990222739,-0.023939091698504,-0.0923568345230054,-0.135033378462162,0.183139630858298,-0.1530414848715,-0.0388313377760326,0.0247063968827646,-0.266383221916234,-0.271196485780694
"M72",0.129337135280041,0.234767701293775,0.0487277800738394,0.111642695761242,0.242158201026919,0.232394420700177,0.0775076693568494,0.168747745197164,0.143182123881713,0.0507039650466287,-0.207739896958441,-0.166612834162022,-0.0756950486931395,-0.0849327978729384,-0.123329492047503,-0.0398673950163047
"M73",0.0891029758112851,0.155598524436196,0.163396891915179,0.134938267831564,0.0360258033627049,0.018330061484378,-0.0708142452621159,0.0656262153437543,0.0253302048318813,-0.0819600886101006,-0.0584715279167759,-0.188802051542375,-0.10577752202766,-0.0758648000723157,-0.220061051880732,-0.175428021268646
"M74",0.0782177787617027,0.185294944565768,0.106932746685138,0.123455706061669,0.122787725177939,0.0866598821613639,-0.0162902141553131,0.106366193749583,0.0684208192694408,-0.014784344505408,-0.133097011427349,-0.170956614542143,-0.0996295634317814,-0.0873997073728605,-0.17456024954676,-0.127195630897566
"M75",0.101333340307883,0.140872301054698,0.181504437649583,0.0901805186230449,0.0351117296790699,0.00142006110541514,-0.0830273045383856,0.067169047676531,-0.0264117057593851,-0.0923431367678787,-0.0188384137603516,-0.196365040275916,-0.118074376132626,-0.0643803408796527,-0.235411378394122,-0.189824039968593
"M85",0.359318389982941,0.244772949431688,0.0621710730067396,0.0925179740505809,0.255151734908922,0.190095348491792,-0.0297076327167339,0.0986831159350688,0.244801086236822,0.0234263446352592,-0.17095398212647,-0.152308119990507,0.0418540718480081,-0.123261954193498,-0.16692965637145,-0.114765571436282
"M86",0.36778022740281,0.24004714672123,0.0746388958603817,0.117346913115076,0.235078759690648,0.1499689797614,-0.0641471746304011,0.0783755940132293,0.252142272003338,0.0216836678627456,-0.157380511986116,-0.149983458261563,0.0482498553644853,-0.120117052517667,-0.182822066311265,-0.138784164176845
"M87",0.288139599853749,0.225440478092608,0.0770019332490399,0.0950045101289963,0.206991942699557,0.155987277391512,-0.0469853515906111,0.0805313146436963,0.195824909563745,0.00608686070872348,-0.154126428152819,-0.160019572884179,0.0023165323386669,-0.111352500960282,-0.182859012055669,-0.130539419447312
"M88",0.358526105825122,0.255822393646556,0.0378556699846988,0.089670241058192,0.28730536381186,0.215981866102877,-0.00669835823543143,0.113245271459679,0.281666823898305,0.0663695387609287,-0.191050896314954,-0.137790469054406,0.0540052998198634,-0.129869566600692,-0.148697083613526,-0.0917268933131455
