"","MEcyan","MEsalmon","MEgreenyellow","MEblack","MEbrown","MEdarkturquoise","MEdarkgreen","MElightcyan","MEdarkorange","MEmidnightblue","MEdarkred","MElightgreen","MEskyblue","MEgrey60","MEyellow","MEwhite","MEdarkgrey","MElightyellow"
"M6",-0.233801383524108,-0.143699075810667,-0.197595500187814,-0.133211152013839,-0.198274211934358,0.0695208581873489,0.0340936472957232,-0.00781114888191696,0.130982511202269,0.17978804332827,-0.0830462967016256,0.0798821385848994,-0.0866839590569588,0.174962263789347,0.217384878723132,0.172710730627876,-0.183543437823485,0.0777666528074297
"M7",-0.230359737933328,-0.134841620758348,-0.18980025295873,-0.136760469103058,-0.198885087637586,0.0471644061181887,0.0287412514853167,-0.00135082556590807,0.136290802787607,0.171306317615505,-0.0574031077285079,0.0851744059816236,-0.0353487702004123,0.170412126845231,0.213198927496729,0.174676503719873,-0.176918340057545,0.084542719424455
"M8",-0.233884140353177,-0.138199244613075,-0.195327724923893,-0.131842252239451,-0.196125249621759,0.0719068529181701,0.0256619942354771,0.0175462478003629,0.146022928989049,0.175158773973535,-0.0533986651635622,0.102361516440886,-0.0239676093386804,0.172590007112454,0.220566601720448,0.159098559446493,-0.175660278436318,0.0633523291827865
"M9",-0.236103256483696,-0.142972618143517,-0.178073624794838,-0.129866077827817,-0.19736259215872,0.0454458007916844,0.0443885691664884,0.0288226677310831,0.159876431306142,0.193287968308978,-0.0636169279372861,0.109809539826423,-0.0217795833880455,0.168247197241224,0.225794553531313,0.130498666578642,-0.173057491552716,0.0559735458374348
"M10",-0.31143589635583,-0.255407647721599,-0.178026921374614,-0.15521140841334,-0.245279783626389,0.0660459073579571,0.173975743134844,0.351088304788017,0.39986204234879,0.283839468301824,0.0402083697195407,0.306111998954857,0.42748370436839,0.0571925220947535,0.264208688327495,-0.193128365174983,-0.212488477594779,-0.258445785043113
"M11",-0.316291016237874,-0.293045702336068,-0.0954273928060111,-0.136444644158739,-0.244331461266473,0.0160928633604229,0.229883064434175,0.440487475859677,0.495876543923914,0.313432596938937,0.156094577792745,0.407393261859723,0.661282558237164,0.0336860558970555,0.25961816272844,-0.292910787261992,-0.192995256257658,-0.345643873067607
"M13",-0.260497644876419,-0.212581981835008,-0.192278990965617,-0.137491397294469,-0.201567061061701,0.0354312645186363,0.109623192384154,0.174431966268771,0.274557889267137,0.238136014026702,-0.0618477641135417,0.160521335988274,0.14146749925855,0.108627080322725,0.245777746630089,-0.00793137373278918,-0.184256040569831,-0.0768071796010224
"M23",-0.150327353243999,-0.0650457644185612,-0.146077218648688,-0.131313708435834,-0.1927930149785,0.0493360522053151,-0.0344329812142644,-0.0888669492951727,0.0595593823609776,0.143349453708184,-0.0694468437406763,0.047956539366016,-0.140478061878292,0.204598167316347,0.198353625005927,0.27017672218655,0.211061659075872,0.182679998124999
"M24",-0.171010067595601,-0.106588085443479,-0.166997141131877,-0.140870079170213,-0.206503188098459,0.0618987108744254,0.00779222416812185,-0.0036721001750031,0.149712908535073,0.17935521842283,-0.0266353150663754,0.105638834713455,0.0106051368434493,0.182425517482573,0.221513027461933,0.194672394308849,0.197631669771514,0.10719626689193
"M26",-0.133870436268789,-0.0776131937414172,0.0160733326668738,-0.0948205029116824,-0.186781283459858,0.0199875553778687,-0.0094703354867158,-0.04496313489795,0.123648256450599,0.159049549230127,-0.0345415880106485,0.0857468103612577,0.00664301522414096,0.179738754809605,0.210539928279445,0.186154023448179,0.274072619843755,0.103719322626963
"M28",-0.110516959992911,-0.0217173274907551,-0.140619320982297,-0.145309926009823,-0.203556696800296,0.034348703350682,-0.0662585427684114,-0.0995094765632953,0.0779672687350279,0.143951066195492,0.0097880416695782,0.0960737087944735,-0.0121061201073331,0.203347771462004,0.199561562799965,0.232633333019853,0.31540277167849,0.159414022300965
"M35",0.144316451722009,0.28531750581735,-0.0594148794644859,-0.137136705933905,-0.114535301050002,-0.090216655962566,-0.312794313177393,-0.372645793238875,-0.25468311614349,-0.093974528160903,0.226382241947443,0.123163420356317,-0.0261589277835426,0.238409999716678,0.0274949347895796,0.265276915878485,0.331200082420375,0.311691364474733
"M36",0.113387819128666,0.249598437004586,-0.053770456643704,-0.140828151092527,-0.128160949667716,-0.0871839251436594,-0.297421762400791,-0.352251844362596,-0.236542066934387,-0.0799203074785359,0.208932553286096,0.110152164111886,-0.00187867975551386,0.229277300769245,0.0439177414540579,0.264711542086132,0.322364534468324,0.296952376446998
"M37",0.159462575520107,0.300054708954504,0.00708795038205982,-0.117713199135441,-0.0968210630442761,-0.107572910443925,-0.319501447791935,-0.388083986124832,-0.281164746528243,-0.113711575496985,0.244593201016801,0.102993351031854,-0.0196496229845939,0.221376440090962,0.00840918349905468,0.26291615482653,0.294972857615775,0.313988891387691
"M39",0.250726729351746,0.385874954945379,-0.0443089606174601,-0.140838880555458,-0.0409094355552941,-0.147698553046207,-0.381419350109458,-0.372090344088686,-0.309208895591372,-0.220962619617788,0.358901645447599,0.161332282531344,0.0631597369966904,0.194696972172267,-0.0725853611708562,0.17591356976188,0.23937011119641,0.323539248914528
"M47",0.109634898268646,-0.00818575067005064,0.520881129177699,0.159408033675583,0.158518523808314,-0.132094928282834,0.015754624578235,0.0647583719549825,-0.0536282308960554,-0.11145529029011,-0.105548740122718,-0.153359447643948,-0.123425452999758,-0.168953774102021,-0.0936044826284052,-0.192576947686399,0.0542843894304612,-0.13189379826059
"M48",0.198103437054347,0.192748992299923,0.463902503936431,0.0667822747591994,0.0868497391673165,-0.233453168508509,-0.201543470408785,-0.066713142458588,-0.129191618943356,-0.211810771205446,0.17596300143961,0.0590319659436366,0.0626366578560605,-0.0325567825972558,-0.0933089181853853,-0.18949280854187,0.109460007028581,0.0279753513980964
"M51",0.245713376677831,0.250990006131234,-0.0109078546394173,-0.111645311291972,0.133867226084438,-0.311538054400069,-0.199368598943932,-0.00329718349214992,-0.0842752173485725,-0.303869208876771,0.274348067575434,0.0933404532307505,0.15912183082935,-0.0475887847390341,-0.169591634645287,-0.204953758244568,-0.00340339073914075,0.0781506689945815
"M52",0.274754384948744,0.285799406618657,-0.0405814389503559,-0.107220123634197,0.145661947123831,-0.297257102608017,-0.216005523984613,-0.0374200388948729,-0.109922039405386,-0.317110550612923,0.271933280192372,0.0769061139977386,0.0467531777541967,-0.0316050676050265,-0.183227225069888,-0.182203301571744,0.013962714340616,0.127643836604915
"M60",0.230242031403536,0.198513003476381,-0.0189865379709632,-0.0702942164381895,0.176012839112729,-0.258571696674001,-0.116424738539148,0.0227465909967837,-0.0775726396515279,-0.273895477506479,0.166025499274096,-0.0111431035595752,0.00944964054707645,-0.0954933614114519,-0.187926154762363,-0.191093680973787,-0.0164605011417885,0.0496286779743481
"M62",0.199543137726036,0.14552169899878,-0.0055038905458338,-0.0603729505767476,0.202638964154649,-0.249306071306065,-0.062755513236948,0.0871451457541587,-0.0496155836810206,-0.261343573319287,0.138892450126974,-0.050285562997095,0.0498887709142346,-0.139805636375013,-0.197625293174742,-0.212976219179332,-0.0464723979996382,0.00170592343175549
"M63",0.109416939841118,0.0114506616840529,0.410402057236341,0.0688159668129491,0.154763953303829,-0.208246528997018,-0.00149177271754793,0.172379656113997,0.0191172962645562,-0.152208434353646,0.0151712217382719,-0.0442039019691896,0.105104267600535,-0.169319459678667,-0.10585973201436,-0.228013590840622,-0.00880811580888488,-0.137711879998121
"M72",0.08473342191212,-0.03153157425209,0.0363079375563195,0.16213239918072,0.218375682718695,0.118231907173212,0.161527199758424,0.0447913563081106,-0.0745729843672465,-0.0628153575363976,-0.171304382356143,-0.242008167306226,-0.216785635207357,-0.212679254305261,-0.191589054795544,-0.0832282464410461,-0.126691290231435,-0.122288997761993
"M73",0.0649342679688343,-0.0538466417906698,0.132318122845718,0.128929732067539,0.203333474081878,0.0425751330977332,0.146351778139812,0.0577703781723393,-0.0715048790687141,-0.0752629285292449,-0.151308267497696,-0.225645286378588,-0.0796824818350468,-0.228888378597559,-0.180192821268064,-0.10759249517133,-0.0994655204284774,-0.168252564833744
"M74",0.0588711974997619,-0.0535515312621152,0.0667303412880896,0.118760100384721,0.199834085790878,0.0416328141268662,0.161078057782538,0.0777856727466584,-0.0453889243765969,-0.0721800133257631,-0.135838553359834,-0.200492674061625,-0.0384484272066643,-0.218254717151998,-0.176030362199856,-0.116139675170953,-0.122239193991647,-0.154664402016444
"M75",0.0657493088646775,-0.0408145895119246,0.113159698725151,0.123510402159712,0.217819758793912,0.0270903702171235,0.131477772123161,0.0966195990913787,-0.0439057322595678,-0.0951284415551184,-0.103748157734724,-0.221201571121844,-0.00361775484176617,-0.240411830610931,-0.191161886053439,-0.103613132787086,-0.10276262612487,-0.18280124103943
"M85",0.0238657982679942,-0.129596430979029,0.0462842553395869,0.39681373951812,0.193014118478424,0.348491275694261,0.229660182074244,0.0456624596986612,-0.0910485285614373,0.0672919652734286,-0.30260047867691,-0.293844930123515,-0.254559935249351,-0.233578840092381,-0.177333357101624,-0.0444196262665258,-0.129709980435231,-0.192261207759911
"M86",0.00606545185985635,-0.144852608876502,0.0541488150914354,0.412098405633782,0.182053604444535,0.346167910034765,0.240331713358121,0.0587159331018681,-0.0835349319946571,0.085671273696898,-0.309055760106584,-0.297071913541697,-0.228588362421894,-0.24621740735684,-0.173135899629181,-0.0315061422183751,-0.144542626873963,-0.207067835240814
"M87",0.0305001101640747,-0.119161250094382,0.0345907308451335,0.340226648641709,0.191924688751934,0.31671239685447,0.230764716912495,0.0367177461466739,-0.0957199646060809,0.0421331894971373,-0.26948321367685,-0.291160336135528,-0.225740300465407,-0.232595425384982,-0.182121014299716,-0.0684622234780661,-0.131256787408502,-0.186735866770723
"M88",0.0180765546856244,-0.132616736181589,0.0118112325157607,0.381713453402666,0.187217774146026,0.365058813113736,0.247782619748613,0.0612063955063247,-0.0819941618134314,0.0698981793475529,-0.28841008923288,-0.283172947236585,-0.204696311709221,-0.241639457114052,-0.181046365448896,-0.0391967411478735,-0.133051663394265,-0.201346565431097
