#miRNA	read_count	precursor	total	s06	s08	s09	s10	s13	s14	s23	s24	s26	s28	s35	s47	s51	s52	s60	s61	s63	s72	s74	s75	s85	s86	s87	s88	s06(norm)	s08(norm)	s09(norm)	s10(norm)	s13(norm)	s14(norm)	s23(norm)	s24(norm)	s26(norm)	s28(norm)	s35(norm)	s47(norm)	s51(norm)	s52(norm)	s60(norm)	s61(norm)	s63(norm)	s72(norm)	s74(norm)	s75(norm)	s85(norm)	s86(norm)	s87(norm)	s88(norm)
Montipora_capitata_HIv3___Scaffold_10_585455	1744.00	Montipora_capitata_HIv3___Scaffold_10_585455	1744.00	0	0	254.00	0	47.00	0	439.00	0	0	0	282.00	0	0	367.00	157.00	0	0	140.00	0	0	58.00	0	0	0	0	0	40208.96	0	5358.57	0	38987.57	0	0	0	17324.00	0	0	23829.62	11504.36	0	0	10286.55	0	0	4047.45	0	0	0
Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_11_634165	103.00	Montipora_capitata_HIv3___Scaffold_11_634165	103.00	0	0	2.00	0	14.00	0	9.00	0	0	0	12.00	0	0	10.00	24.00	0	0	7.00	0	0	9.00	0	16.00	0	0	0	316.61	0	1596.17	0	799.29	0	0	0	737.19	0	0	649.31	1758.63	0	0	514.33	0	0	628.05	0	6482.98	0
Montipora_capitata_HIv3___Scaffold_11_681829	87.00	Montipora_capitata_HIv3___Scaffold_11_681829	87.00	0	0	0	0	3.00	0	2.00	0	0	0	20.00	0	0	16.00	10.00	0	0	30.00	0	0	6.00	0	0	0	0	0	0	0	342.04	0	177.62	0	0	0	1228.65	0	0	1038.89	732.76	0	0	2204.26	0	0	418.70	0	0	0
Montipora_capitata_HIv3___Scaffold_11_696080	69.00	Montipora_capitata_HIv3___Scaffold_11_696080	69.00	0	0	15.00	0	6.00	0	11.00	0	0	0	11.00	0	0	4.00	15.00	0	0	5.00	0	0	2.00	0	0	0	0	0	2374.54	0	684.07	0	976.91	0	0	0	675.76	0	0	259.72	1099.14	0	0	367.38	0	0	139.57	0	0	0
Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_12_774709	340.00	Montipora_capitata_HIv3___Scaffold_12_774709	340.00	0	0	6.00	0	22.00	0	13.00	0	0	0	18.00	0	0	29.00	24.00	0	0	55.00	0	0	171.00	1.00	0	1.00	0	0	949.82	0	2508.27	0	1154.53	0	0	0	1105.79	0	0	1882.99	1758.63	0	0	4041.15	0	0	11933.01	166666.67	0	1000000.00
Montipora_capitata_HIv3___Scaffold_13_807296	120.00	Montipora_capitata_HIv3___Scaffold_13_807296	120.00	0	0	18.00	0	37.00	0	5.00	0	0	0	26.00	0	0	5.00	16.00	0	0	6.00	0	0	7.00	0	0	0	0	0	2849.45	0	4218.45	0	444.05	0	0	0	1597.25	0	0	324.65	1172.42	0	0	440.85	0	0	488.49	0	0	0
Montipora_capitata_HIv3___Scaffold_14_846123	194.00	Montipora_capitata_HIv3___Scaffold_14_846123	194.00	0	0	13.00	0	36.00	0	30.00	0	0	0	40.00	0	0	32.00	23.00	0	0	15.00	0	0	5.00	0	0	0	0	0	2057.94	0	4104.44	0	2664.30	0	0	0	2457.30	0	0	2077.79	1685.35	0	0	1102.13	0	0	348.92	0	0	0
Montipora_capitata_HIv3___Scaffold_14_850199	154.00	Montipora_capitata_HIv3___Scaffold_14_850199	154.00	0	0	8.00	0	7.00	0	19.00	0	0	0	18.00	0	0	25.00	19.00	0	0	35.00	0	0	23.00	0	0	0	0	0	1266.42	0	798.08	0	1687.39	0	0	0	1105.79	0	0	1623.27	1392.25	0	0	2571.64	0	0	1605.02	0	0	0
Montipora_capitata_HIv3___Scaffold_14_865867	949.00	Montipora_capitata_HIv3___Scaffold_14_865867	949.00	2.00	0	132.00	0	119.00	0	154.00	0	0	0	145.00	0	0	195.00	91.00	0	0	82.00	0	0	29.00	0	0	0	1000000.00	0	20895.99	0	13567.44	0	13676.73	0	0	0	8907.73	0	0	12661.52	6668.13	0	0	6024.98	0	0	2023.73	0	0	0
Montipora_capitata_HIv3___Scaffold_14_866635	1233.00	Montipora_capitata_HIv3___Scaffold_14_866635	1233.00	0	0	86.00	0	49.00	0	94.00	0	0	0	214.00	0	0	214.00	218.00	0	0	275.00	0	0	83.00	0	0	0	0	0	13614.06	0	5586.59	0	8348.13	0	0	0	13146.58	0	0	13895.20	15974.21	0	0	20205.73	0	0	5792.04	0	0	0
Montipora_capitata_HIv3___Scaffold_11_702925	1249.00	Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_10_620169	1249.00	Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_12_773601	1249.00	Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	Montipora_capitata_HIv3___Scaffold_151_915764	1249.00	0	0	35.00	0	68.00	0	232.00	0	0	0	390.00	0	0	272.00	185.00	0	0	54.00	0	0	13.00	0	0	0	0	0	5540.60	0	7752.82	0	20603.91	0	0	0	23958.72	0	0	17661.19	13556.09	0	0	3967.67	0	0	907.19	0	0	0
Montipora_capitata_HIv3___Scaffold_1_3519	634.00	Montipora_capitata_HIv3___Scaffold_1_3519	634.00	0	0	0	0	0	0	2.00	0	0	0	2.00	0	0	4.00	10.00	0	0	253.00	0	0	363.00	0	0	0	0	0	0	0	0	0	177.62	0	0	0	122.87	0	0	259.72	732.76	0	0	18589.27	0	0	25331.47	0	0	0
Montipora_capitata_HIv3___Scaffold_1_48204	11900.00	Montipora_capitata_HIv3___Scaffold_1_48204	11900.00	0	0	1069.00	0	3675.00	0	1012.00	0	0	0	2248.00	0	0	1421.00	1357.00	2.00	0	611.00	0	0	502.00	3.00	0	0	0	0	169225.90	0	418994.41	0	89875.67	0	0	0	138100.50	0	0	92266.74	99435.77	1000000.00	0	44893.46	0	0	35031.40	500000.00	0	0
Montipora_capitata_HIv3___Scaffold_2_106363	1048.00	Montipora_capitata_HIv3___Scaffold_2_106363	1048.00	0	0	17.00	0	44.00	0	21.00	0	0	0	46.00	0	0	153.00	97.00	0	0	204.00	0	0	466.00	0	0	0	0	0	2691.15	0	5016.53	0	1865.01	0	0	0	2825.90	0	0	9934.42	7107.79	0	0	14988.98	0	0	32519.19	0	0	0
Montipora_capitata_HIv3___Scaffold_2_119703	1026.00	Montipora_capitata_HIv3___Scaffold_2_119703	1026.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56401.52	0	0	0	0	0	0	0
Montipora_capitata_HIv3___Scaffold_2_57253	56.00	Montipora_capitata_HIv3___Scaffold_2_57253	56.00	0	0	1.00	0	1.00	0	0	0	0	0	2.00	0	0	11.00	12.00	0	0	11.00	0	0	18.00	0	0	0	0	0	158.30	0	114.01	0	0	0	0	0	122.87	0	0	714.24	879.31	0	0	808.23	0	0	1256.11	0	0	0
Montipora_capitata_HIv3___Scaffold_2_60896	2092.00	Montipora_capitata_HIv3___Scaffold_2_60896	2092.00	0	0	290.00	0	202.00	0	292.00	0	0	0	355.00	0	0	392.00	280.00	0	0	211.00	0	0	70.00	0	0	0	0	0	45907.87	0	23030.44	0	25932.50	0	0	0	21808.58	0	0	25452.89	20517.33	0	0	15503.31	0	0	4884.86	0	0	0
Montipora_capitata_HIv3___Scaffold_2_83947	7111.00	Montipora_capitata_HIv3___Scaffold_2_83947	7111.00	0	0	111.00	0	61.00	0	136.00	0	0	0	386.00	0	0	1306.00	948.00	0	0	2136.00	0	0	2025.00	2.00	0	0	0	0	17571.63	0	6954.74	0	12078.15	0	0	0	23712.99	0	0	84799.69	69465.82	0	0	156943.42	0	0	141311.93	333333.33	0	0
Montipora_capitata_HIv3___Scaffold_3_127504	94.00	Montipora_capitata_HIv3___Scaffold_3_127504	94.00	0	0	2.00	0	5.00	0	0	0	0	0	16.00	0	0	37.00	20.00	0	0	12.00	0	0	2.00	0	0	0	0	0	316.61	0	570.06	0	0	0	0	0	982.92	0	0	2402.44	1465.52	0	0	881.70	0	0	139.57	0	0	0
Montipora_capitata_HIv3___Scaffold_4_197697	59.00	Montipora_capitata_HIv3___Scaffold_4_197697	59.00	0	0	1.00	0	0	0	1.00	0	0	0	8.00	0	0	17.00	16.00	0	0	13.00	0	0	3.00	0	0	0	0	0	158.30	0	0	0	88.81	0	0	0	491.46	0	0	1103.82	1172.42	0	0	955.18	0	0	209.35	0	0	0
Montipora_capitata_HIv3___Scaffold_4_247620	258.00	Montipora_capitata_HIv3___Scaffold_4_247620	258.00	0	0	0	0	0	0	4.00	0	0	0	15.00	0	0	67.00	53.00	0	0	80.00	0	0	39.00	0	0	0	0	0	0	0	0	0	355.24	0	0	0	921.49	0	0	4350.37	3883.64	0	0	5878.03	0	0	2721.56	0	0	0
Montipora_capitata_HIv3___Scaffold_5_262937	625.00	Montipora_capitata_HIv3___Scaffold_5_262937	625.00	0	0	43.00	0	55.00	0	25.00	0	0	0	113.00	0	0	91.00	82.00	0	0	80.00	0	0	136.00	0	0	0	0	0	6807.03	0	6270.66	0	2220.25	0	0	0	6941.88	0	0	5908.71	6008.65	0	0	5878.03	0	0	9490.58	0	0	0
Montipora_capitata_HIv3___Scaffold_5_263768	30.00	Montipora_capitata_HIv3___Scaffold_5_263768	30.00	0	0	0	0	0	16.00	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	12.00	0	0	0	0	0	0	82901.55	0	0	0	0	0	0	0	0	0	0	0	0	0	10362.69	0	0	4862.24	0
Montipora_capitata_HIv3___Scaffold_5_318975	228.00	Montipora_capitata_HIv3___Scaffold_5_318975	228.00	0	0	14.00	0	29.00	0	26.00	0	0	0	43.00	0	0	50.00	43.00	0	0	17.00	0	0	6.00	0	0	0	0	0	2216.24	0	3306.35	0	2309.06	0	0	0	2641.60	0	0	3246.54	3150.88	0	0	1249.08	0	0	418.70	0	0	0
Montipora_capitata_HIv3___Scaffold_6_340912	450.00	Montipora_capitata_HIv3___Scaffold_6_340912	450.00	0	0	4.00	0	16.00	1.00	24.00	0	0	0	117.00	0	0	86.00	77.00	0	0	56.00	0	0	69.00	0	0	0	0	0	633.21	0	1824.19	5181.35	2131.44	0	0	0	7187.62	0	0	5584.05	5642.27	0	0	4114.62	0	0	4815.07	0	0	0
Montipora_capitata_HIv3___Scaffold_6_373318	37.00	Montipora_capitata_HIv3___Scaffold_6_373318	37.00	0	0	1.00	0	4.00	0	1.00	0	0	0	3.00	0	0	4.00	6.00	0	0	7.00	0	0	11.00	0	0	0	0	0	158.30	0	456.05	0	88.81	0	0	0	184.30	0	0	259.72	439.66	0	0	514.33	0	0	767.62	0	0	0
Montipora_capitata_HIv3___Scaffold_7_388195	294.00	Montipora_capitata_HIv3___Scaffold_7_388195	294.00	0	0	3.00	0	7.00	0	7.00	0	0	0	47.00	0	0	56.00	67.00	0	0	60.00	0	0	47.00	0	0	0	0	0	474.91	0	798.08	0	621.67	0	0	0	2887.33	0	0	3636.13	4909.50	0	0	4408.52	0	0	3279.83	0	0	0
Montipora_capitata_HIv3___Scaffold_8_414648	24045.00	Montipora_capitata_HIv3___Scaffold_8_414648	24045.00	0	0	1728.00	2.00	1024.00	0	1275.00	0	0	1.00	1844.00	0	0	2378.00	3052.00	0	0	4759.00	0	0	7982.00	0	0	0	0	0	273547.57	1000000.00	116748.38	0	113232.68	0	0	250000.00	113281.73	0	0	154405.56	223638.89	0	0	349669.36	0	0	557013.26	0	0	0
Montipora_capitata_HIv3___Scaffold_8_415215	3598.00	Montipora_capitata_HIv3___Scaffold_8_415215	3598.00	0	0	27.00	0	27.00	0	54.00	0	0	0	153.00	0	0	418.00	505.00	0	0	1643.00	0	0	771.00	0	0	0	0	0	4274.18	0	3078.33	0	4795.74	0	0	0	9399.19	0	0	27141.09	37004.47	0	0	120720.06	0	0	53803.21	0	0	0
Montipora_capitata_HIv3___Scaffold_8_432272	296.00	Montipora_capitata_HIv3___Scaffold_8_432272	296.00	0	0	1.00	0	2.00	0	2.00	0	0	0	11.00	0	0	56.00	43.00	0	0	94.00	0	0	87.00	0	0	0	0	0	158.30	0	228.02	0	177.62	0	0	0	675.76	0	0	3636.13	3150.88	0	0	6906.69	0	0	6071.18	0	0	0
Montipora_capitata_HIv3___Scaffold_8_432273	36.00	Montipora_capitata_HIv3___Scaffold_8_432273	36.00	0	0	0	0	3.00	0	0	0	0	0	1.00	0	0	10.00	1.00	0	0	12.00	0	0	9.00	0	0	0	0	0	0	0	342.04	0	0	0	0	0	61.43	0	0	649.31	73.28	0	0	881.70	0	0	628.05	0	0	0
Montipora_capitata_HIv3___Scaffold_8_455105	250.00	Montipora_capitata_HIv3___Scaffold_8_455105	250.00	0	0	13.00	0	32.00	0	32.00	0	0	0	25.00	0	0	58.00	33.00	0	0	24.00	0	0	33.00	0	0	0	0	0	2057.94	0	3648.39	0	2841.92	0	0	0	1535.82	0	0	3765.99	2418.11	0	0	1763.41	0	0	2302.86	0	0	0
Montipora_capitata_HIv3___Scaffold_8_461265	190.00	Montipora_capitata_HIv3___Scaffold_8_461265	190.00	0	0	1.00	0	7.00	0	5.00	0	0	0	30.00	0	0	39.00	34.00	0	0	49.00	0	0	25.00	0	0	0	0	0	158.30	0	798.08	0	444.05	0	0	0	1842.98	0	0	2532.30	2491.39	0	0	3600.29	0	0	1744.59	0	0	0
Montipora_capitata_HIv3___Scaffold_8_480075	717.00	Montipora_capitata_HIv3___Scaffold_8_480075	717.00	0	0	2.00	0	4.00	0	5.00	0	0	0	101.00	0	0	139.00	179.00	0	0	190.00	0	0	97.00	0	0	0	0	0	316.61	0	456.05	0	444.05	0	0	0	6204.69	0	0	9025.39	13116.44	0	0	13960.32	0	0	6769.02	0	0	0
Montipora_capitata_HIv3___Scaffold_8_491119	752.00	Montipora_capitata_HIv3___Scaffold_8_491119	752.00	0	0	1.00	0	1.00	0	20.00	0	0	0	27.00	0	0	194.00	121.00	0	0	150.00	0	191.00	47.00	0	0	0	0	0	158.30	0	114.01	0	1776.20	0	0	0	1658.68	0	0	12596.58	8866.42	0	0	11021.31	0	989637.31	3279.83	0	0	0
Montipora_capitata_HIv3___Scaffold_8_497799	4359.00	Montipora_capitata_HIv3___Scaffold_8_497799	4359.00	0	0	52.00	0	63.00	0	75.00	0	0	0	123.00	0	0	59.00	154.00	0	3220.00	59.00	0	0	49.00	0	505.00	0	0	0	8231.76	0	7182.76	0	6660.75	0	0	0	7556.21	0	0	3830.92	11284.53	0	177010.61	4335.05	0	0	3419.40	0	204619.12	0
Montipora_capitata_HIv3___Scaffold_8_497799	2661.00	Montipora_capitata_HIv3___Scaffold_8_497799	2661.00	0	0	27.00	0	28.00	0	40.00	0	0	0	56.00	0	0	27.00	77.00	0	2145.00	24.00	0	0	22.00	0	215.00	0	0	0	4274.18	0	3192.34	0	3552.40	0	0	0	3440.23	0	0	1753.13	5642.27	0	117915.45	1763.41	0	0	1535.24	0	87115.07	0
Montipora_capitata_HIv3___Scaffold_8_497799	4137.00	Montipora_capitata_HIv3___Scaffold_8_497799	4137.00	0	0	41.00	0	48.00	0	62.00	0	0	0	95.00	0	0	44.00	122.00	0	3218.00	41.00	0	0	36.00	0	430.00	0	0	0	6490.42	0	5472.58	0	5506.22	0	0	0	5836.10	0	0	2856.96	8939.69	0	176900.67	3012.49	0	0	2512.21	0	174230.15	0
Montipora_capitata_HIv3___Scaffold_8_497799	5701.00	Montipora_capitata_HIv3___Scaffold_8_497799	5701.00	0	0	55.00	0	68.00	88.00	84.00	0	0	0	134.00	0	0	61.00	167.00	0	4291.00	58.00	0	0	50.00	0	645.00	0	0	0	8706.66	0	7752.82	455958.55	7460.04	0	0	0	8231.97	0	0	3960.78	12237.12	0	235885.88	4261.57	0	0	3489.18	0	261345.22	0
Montipora_capitata_HIv3___Scaffold_8_497799	5803.00	Montipora_capitata_HIv3___Scaffold_8_497799	5803.00	0	0	63.00	0	80.00	88.00	96.00	0	0	0	153.00	0	0	69.00	191.00	0	4291.00	69.00	0	0	58.00	0	645.00	0	0	0	9973.09	0	9120.97	455958.55	8525.75	0	0	0	9399.19	0	0	4480.23	13995.75	0	235885.88	5069.80	0	0	4047.45	0	261345.22	0
Montipora_capitata_HIv3___Scaffold_8_498263	101.00	Montipora_capitata_HIv3___Scaffold_8_498263	101.00	0	0	0	0	4.00	0	1.00	0	0	0	2.00	0	0	4.00	0	0	0	11.00	0	0	79.00	0	0	0	0	0	0	0	456.05	0	88.81	0	0	0	122.87	0	0	259.72	0	0	0	808.23	0	0	5512.91	0	0	0
Montipora_capitata_HIv3___Scaffold_9_515007	63.00	Montipora_capitata_HIv3___Scaffold_9_515007	63.00	0	0	0	0	1.00	0	5.00	0	0	0	1.00	0	0	28.00	11.00	0	0	13.00	0	0	4.00	0	0	0	0	0	0	0	114.01	0	444.05	0	0	0	61.43	0	0	1818.06	806.04	0	0	955.18	0	0	279.13	0	0	0
Montipora_capitata_HIv3___Scaffold_9_521005	13787.00	Montipora_capitata_HIv3___Scaffold_9_521005	13787.00	0	0	1391.00	0	1619.00	0	2910.00	1.00	0	3.00	2462.00	0	0	2297.00	1818.00	0	0	813.00	0	0	473.00	0	0	0	0	0	220199.46	0	184585.57	0	258436.94	1000000.00	0	750000.00	151247.08	0	0	149146.16	133216.09	0	0	59735.49	0	0	33007.68	0	0	0
Montipora_capitata_HIv3___Scaffold_9_525121	167.00	Montipora_capitata_HIv3___Scaffold_9_525121	167.00	0	0	4.00	0	4.00	0	3.00	0	0	0	20.00	0	0	26.00	22.00	0	0	38.00	0	0	50.00	0	0	0	0	0	633.21	0	456.05	0	266.43	0	0	0	1228.65	0	0	1688.20	1612.08	0	0	2792.06	0	0	3489.18	0	0	0
Montipora_capitata_HIv3___Scaffold_9_530478	210.00	Montipora_capitata_HIv3___Scaffold_9_530478	210.00	0	0	14.00	0	10.00	0	18.00	0	0	0	36.00	0	0	50.00	42.00	0	0	29.00	0	0	11.00	0	0	0	0	0	2216.24	0	1140.12	0	1598.58	0	0	0	2211.57	0	0	3246.54	3077.60	0	0	2130.79	0	0	767.62	0	0	0
Montipora_capitata_HIv3___Scaffold_9_531157	2885.00	Montipora_capitata_HIv3___Scaffold_9_531157	2885.00	0	0	247.00	0	219.00	0	534.00	0	0	0	577.00	0	0	500.00	450.00	0	0	269.00	0	0	89.00	0	0	0	0	0	39100.84	0	24968.65	0	47424.51	0	0	0	35446.62	0	0	32465.42	32974.28	0	0	19764.88	0	0	6210.75	0	0	0
