#miRNA	read_count	precursor	total	s09	s13	s23	s35	s52	s60	s72	s85	s09(norm)	s13(norm)	s23(norm)	s35(norm)	s52(norm)	s60(norm)	s72(norm)	s85(norm)
Montipora_capitata_HIv3___Scaffold_10_624116	2092.00	Montipora_capitata_HIv3___Scaffold_10_624116	2092.00	148.00	181.00	342.00	327.00	226.00	270.00	277.00	321.00	86196.85	62651.44	83292.74	56175.91	33928.84	39548.85	36815.52	51541.43
Montipora_capitata_HIv3___Scaffold_10_638801	55.00	Montipora_capitata_HIv3___Scaffold_10_638801	55.00	2.00	3.00	1.00	4.00	5.00	6.00	11.00	23.00	1164.82	1038.42	243.55	687.17	750.64	878.86	1461.99	3693.00
Montipora_capitata_HIv3___Scaffold_10_659884	481.00	Montipora_capitata_HIv3___Scaffold_10_659884	481.00	18.00	20.00	22.00	33.00	84.00	135.00	120.00	49.00	10483.40	6922.81	5358.01	5669.13	12610.72	19774.43	15948.96	7867.69
Montipora_capitata_HIv3___Scaffold_10_721713	744.00	Montipora_capitata_HIv3___Scaffold_10_721713	744.00	12.00	32.00	124.00	248.00	170.00	124.00	26.00	8.00	6988.93	11076.50	30199.71	42604.36	25521.69	18163.18	3455.61	1284.52
Montipora_capitata_HIv3___Scaffold_11_742252	172.00	Montipora_capitata_HIv3___Scaffold_11_742252	172.00	14.00	47.00	20.00	22.00	31.00	24.00	8.00	6.00	8153.76	16268.61	4870.92	3779.42	4653.96	3515.45	1063.26	963.39
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	336.00	Montipora_capitata_HIv3___Scaffold_11_742252	336.00	31.00	93.00	39.00	46.00	65.00	38.00	13.00	11.00	18054.75	32191.07	9498.30	7902.42	9758.29	5566.13	1727.80	1766.22
Montipora_capitata_HIv3___Scaffold_11_742252	101.00	Montipora_capitata_HIv3___Scaffold_11_742252	101.00	7.00	29.00	15.00	15.00	17.00	13.00	3.00	2.00	4076.88	10038.08	3653.19	2576.88	2552.17	1904.20	398.72	321.13
Montipora_capitata_HIv3___Scaffold_11_779141	30.00	Montipora_capitata_HIv3___Scaffold_11_779141	30.00	4.00	5.00	7.00	1.00	4.00	7.00	2.00	0	2329.64	1730.70	1704.82	171.79	600.51	1025.34	265.82	0
Montipora_capitata_HIv3___Scaffold_11_787538	30.00	Montipora_capitata_HIv3___Scaffold_11_787538	30.00	4.00	5.00	7.00	1.00	4.00	7.00	2.00	0	2329.64	1730.70	1704.82	171.79	600.51	1025.34	265.82	0
Montipora_capitata_HIv3___Scaffold_11_793245	60.00	Montipora_capitata_HIv3___Scaffold_11_793245	60.00	0	2.00	2.00	4.00	16.00	5.00	26.00	5.00	0	692.28	487.09	687.17	2402.04	732.39	3455.61	802.83
Montipora_capitata_HIv3___Scaffold_11_807462	30.00	Montipora_capitata_HIv3___Scaffold_11_807462	30.00	4.00	5.00	7.00	1.00	4.00	7.00	2.00	0	2329.64	1730.70	1704.82	171.79	600.51	1025.34	265.82	0
Montipora_capitata_HIv3___Scaffold_11_817971	744.00	Montipora_capitata_HIv3___Scaffold_11_817971	744.00	12.00	32.00	124.00	248.00	170.00	124.00	26.00	8.00	6988.93	11076.50	30199.71	42604.36	25521.69	18163.18	3455.61	1284.52
Montipora_capitata_HIv3___Scaffold_11_832609	26.00	Montipora_capitata_HIv3___Scaffold_11_832609	26.00	1.00	0	0	3.00	3.00	4.00	6.00	9.00	582.41	0	0	515.38	450.38	585.91	797.45	1445.09
Montipora_capitata_HIv3___Scaffold_12_901357	326.00	Montipora_capitata_HIv3___Scaffold_12_901357	326.00	4.00	16.00	13.00	16.00	28.00	24.00	55.00	170.00	2329.64	5538.25	3166.10	2748.67	4203.57	3515.45	7309.94	27296.08
Montipora_capitata_HIv3___Scaffold_13_939196	30.00	Montipora_capitata_HIv3___Scaffold_13_939196	30.00	7.00	14.00	1.00	1.00	1.00	3.00	0	3.00	4076.88	4845.97	243.55	171.79	150.13	439.43	0	481.70
Montipora_capitata_HIv3___Scaffold_14_1001044	1686.00	Montipora_capitata_HIv3___Scaffold_14_1001044	1686.00	56.00	190.00	314.00	348.00	272.00	367.00	81.00	58.00	32615.03	65766.70	76473.45	59783.54	40834.71	53757.14	10765.55	9312.78
Montipora_capitata_HIv3___Scaffold_14_1001054	1686.00	Montipora_capitata_HIv3___Scaffold_14_1001054	1686.00	56.00	190.00	314.00	348.00	272.00	367.00	81.00	58.00	32615.03	65766.70	76473.45	59783.54	40834.71	53757.14	10765.55	9312.78
Montipora_capitata_HIv3___Scaffold_14_1007097	500.00	Montipora_capitata_HIv3___Scaffold_14_1007097	500.00	56.00	58.00	88.00	84.00	104.00	51.00	44.00	15.00	32615.03	20076.15	21432.05	14430.51	15613.27	7470.34	5847.95	2408.48
Montipora_capitata_HIv3___Scaffold_14_1007949	1153.00	Montipora_capitata_HIv3___Scaffold_14_1007949	1153.00	75.00	36.00	82.00	211.00	211.00	194.00	264.00	80.00	43680.84	12461.06	19970.77	36248.07	31676.93	28416.58	35087.72	12845.22
Montipora_capitata_HIv3___Scaffold_14_981912	48.00	Montipora_capitata_HIv3___Scaffold_14_981912	48.00	0	1.00	1.00	1.00	0	0	18.00	27.00	0	346.14	243.55	171.79	0	0	2392.34	4335.26
Montipora_capitata_HIv3___Scaffold_14_984317	181.00	Montipora_capitata_HIv3___Scaffold_14_984317	181.00	13.00	31.00	28.00	37.00	31.00	23.00	14.00	4.00	7571.35	10730.36	6819.29	6356.30	4653.96	3368.98	1860.71	642.26
Montipora_capitata_HIv3___Scaffold_14_989061	145.00	Montipora_capitata_HIv3___Scaffold_14_989061	145.00	8.00	5.00	17.00	14.00	24.00	19.00	35.00	23.00	4659.29	1730.70	4140.28	2405.09	3603.06	2783.07	4651.78	3693.00
Montipora_capitata_HIv3___Scaffold_151_1064446	744.00	Montipora_capitata_HIv3___Scaffold_151_1064446	744.00	12.00	32.00	124.00	248.00	170.00	124.00	26.00	8.00	6988.93	11076.50	30199.71	42604.36	25521.69	18163.18	3455.61	1284.52
Montipora_capitata_HIv3___Scaffold_186_1068044	30.00	Montipora_capitata_HIv3___Scaffold_186_1068044	30.00	7.00	8.00	6.00	1.00	2.00	4.00	1.00	1.00	4076.88	2769.12	1461.28	171.79	300.26	585.91	132.91	160.57
Montipora_capitata_HIv3___Scaffold_1_35067	49.00	Montipora_capitata_HIv3___Scaffold_1_35067	49.00	7.00	1.00	7.00	6.00	5.00	7.00	13.00	3.00	4076.88	346.14	1704.82	1030.75	750.64	1025.34	1727.80	481.70
Montipora_capitata_HIv3___Scaffold_1_4143	620.00	Montipora_capitata_HIv3___Scaffold_1_4143	620.00	0	0	2.00	2.00	3.00	9.00	246.00	358.00	0	0	487.09	343.58	450.38	1318.30	32695.37	57482.34
Montipora_capitata_HIv3___Scaffold_2_123667	920.00	Montipora_capitata_HIv3___Scaffold_2_123667	920.00	10.00	21.00	14.00	30.00	135.00	82.00	183.00	445.00	5824.11	7268.95	3409.64	5153.75	20267.23	12011.13	24322.17	71451.51
Montipora_capitata_HIv3___Scaffold_2_63883	75.00	Montipora_capitata_HIv3___Scaffold_2_63883	75.00	0	0	0	9.00	9.00	6.00	17.00	34.00	0	0	0	1546.13	1351.15	878.86	2259.44	5459.22
Montipora_capitata_HIv3___Scaffold_2_66515	16.00	Montipora_capitata_HIv3___Scaffold_2_66515	16.00	0	0	0	0	6.00	2.00	3.00	5.00	0	0	0	0	900.77	292.95	398.72	802.83
Montipora_capitata_HIv3___Scaffold_2_86747	55.00	Montipora_capitata_HIv3___Scaffold_2_86747	55.00	2.00	3.00	1.00	4.00	5.00	6.00	11.00	23.00	1164.82	1038.42	243.55	687.17	750.64	878.86	1461.99	3693.00
Montipora_capitata_HIv3___Scaffold_2_95308	652.00	Montipora_capitata_HIv3___Scaffold_2_95308	652.00	2.00	3.00	4.00	97.00	125.00	163.00	171.00	87.00	1164.82	1038.42	974.18	16663.80	18765.95	23875.79	22727.27	13969.17
Montipora_capitata_HIv3___Scaffold_2_97469	6794.00	Montipora_capitata_HIv3___Scaffold_2_97469	6794.00	94.00	46.00	130.00	360.00	1241.00	904.00	2071.00	1948.00	54746.65	15922.46	31660.98	61845.04	186308.36	132415.41	275252.53	312780.99
Montipora_capitata_HIv3___Scaffold_3_148198	74.00	Montipora_capitata_HIv3___Scaffold_3_148198	74.00	0	0	0	13.00	29.00	18.00	12.00	2.00	0	0	0	2233.29	4353.70	2636.59	1594.90	321.13
Montipora_capitata_HIv3___Scaffold_4_229985	56.00	Montipora_capitata_HIv3___Scaffold_4_229985	56.00	0	0	1.00	8.00	15.00	16.00	13.00	3.00	0	0	243.55	1374.33	2251.91	2343.64	1727.80	481.70
Montipora_capitata_HIv3___Scaffold_4_288176	249.00	Montipora_capitata_HIv3___Scaffold_4_288176	249.00	0	0	1.00	15.00	66.00	53.00	79.00	35.00	0	0	243.55	2576.88	9908.42	7763.29	10499.73	5619.78
Montipora_capitata_HIv3___Scaffold_5_303930	18.00	Montipora_capitata_HIv3___Scaffold_5_303930	18.00	0	0	1.00	4.00	1.00	3.00	5.00	4.00	0	0	243.55	687.17	150.13	439.43	664.54	642.26
Montipora_capitata_HIv3___Scaffold_5_306063	310.00	Montipora_capitata_HIv3___Scaffold_5_306063	310.00	23.00	40.00	22.00	62.00	44.00	39.00	30.00	50.00	13395.46	13845.62	5358.01	10651.09	6605.61	5712.61	3987.24	8028.26
Montipora_capitata_HIv3___Scaffold_5_319191	55.00	Montipora_capitata_HIv3___Scaffold_5_319191	55.00	2.00	3.00	1.00	4.00	5.00	6.00	11.00	23.00	1164.82	1038.42	243.55	687.17	750.64	878.86	1461.99	3693.00
Montipora_capitata_HIv3___Scaffold_5_361076	15.00	Montipora_capitata_HIv3___Scaffold_5_361076	15.00	4.00	5.00	0	1.00	2.00	1.00	2.00	0	2329.64	1730.70	0	171.79	300.26	146.48	265.82	0
Montipora_capitata_HIv3___Scaffold_5_371097	184.00	Montipora_capitata_HIv3___Scaffold_5_371097	184.00	6.00	25.00	18.00	39.00	43.00	36.00	12.00	5.00	3494.47	8653.51	4383.83	6699.88	6455.49	5273.18	1594.90	802.83
Montipora_capitata_HIv3___Scaffold_6_396712	184.00	Montipora_capitata_HIv3___Scaffold_6_396712	184.00	0	0	11.00	71.00	62.00	32.00	7.00	1.00	0	0	2679.01	12197.22	9307.91	4687.27	930.36	160.57
Montipora_capitata_HIv3___Scaffold_6_415143	55.00	Montipora_capitata_HIv3___Scaffold_6_415143	55.00	2.00	3.00	1.00	4.00	5.00	6.00	11.00	23.00	1164.82	1038.42	243.55	687.17	750.64	878.86	1461.99	3693.00
Montipora_capitata_HIv3___Scaffold_6_434354	22.00	Montipora_capitata_HIv3___Scaffold_6_434354	22.00	0	0	1.00	0	2.00	5.00	6.00	8.00	0	0	243.55	0	300.26	732.39	797.45	1284.52
Montipora_capitata_HIv3___Scaffold_7_451889	251.00	Montipora_capitata_HIv3___Scaffold_7_451889	251.00	2.00	4.00	5.00	32.00	49.00	59.00	56.00	44.00	1164.82	1384.56	1217.73	5497.34	7356.25	8642.16	7442.85	7064.87
Montipora_capitata_HIv3___Scaffold_8_483169	3567.00	Montipora_capitata_HIv3___Scaffold_8_483169	3567.00	27.00	22.00	51.00	150.00	414.00	506.00	1627.00	770.00	15725.10	7615.09	12420.85	25768.77	62152.83	74117.47	216241.36	123635.20
Montipora_capitata_HIv3___Scaffold_8_503090	283.00	Montipora_capitata_HIv3___Scaffold_8_503090	283.00	0	2.00	1.00	10.00	56.00	43.00	91.00	80.00	0	692.28	243.55	1717.92	8407.15	6298.52	12094.63	12845.22
Montipora_capitata_HIv3___Scaffold_8_503091	19.00	Montipora_capitata_HIv3___Scaffold_8_503091	19.00	0	0	0	1.00	8.00	1.00	8.00	1.00	0	0	0	171.79	1201.02	146.48	1063.26	160.57
Montipora_capitata_HIv3___Scaffold_8_529775	42.00	Montipora_capitata_HIv3___Scaffold_8_529775	42.00	3.00	0	3.00	4.00	15.00	6.00	5.00	6.00	1747.23	0	730.64	687.17	2251.91	878.86	664.54	963.39
Montipora_capitata_HIv3___Scaffold_8_536899	156.00	Montipora_capitata_HIv3___Scaffold_8_536899	156.00	0	0	0	26.00	34.00	30.00	42.00	24.00	0	0	0	4466.59	5104.34	4394.32	5582.14	3853.56
Montipora_capitata_HIv3___Scaffold_8_547143	370.00	Montipora_capitata_HIv3___Scaffold_8_547143	370.00	2.00	4.00	68.00	76.00	68.00	86.00	30.00	36.00	1164.82	1384.56	16561.13	13056.18	10208.68	12597.04	3987.24	5780.35
Montipora_capitata_HIv3___Scaffold_8_558953	651.00	Montipora_capitata_HIv3___Scaffold_8_558953	651.00	2.00	3.00	4.00	96.00	125.00	163.00	171.00	87.00	1164.82	1038.42	974.18	16492.01	18765.95	23875.79	22727.27	13969.17
Montipora_capitata_HIv3___Scaffold_8_571913	556.00	Montipora_capitata_HIv3___Scaffold_8_571913	556.00	1.00	1.00	20.00	27.00	190.00	121.00	149.00	47.00	582.41	346.14	4870.92	4638.38	28524.25	17723.74	19803.30	7546.56
Montipora_capitata_HIv3___Scaffold_8_580085	89.00	Montipora_capitata_HIv3___Scaffold_8_580085	89.00	0	0	0	0	2.00	0	9.00	78.00	0	0	0	0	300.26	0	1196.17	12524.08
Montipora_capitata_HIv3___Scaffold_9_581562	4583.00	Montipora_capitata_HIv3___Scaffold_9_581562	4583.00	223.00	279.00	550.00	719.00	442.00	983.00	625.00	762.00	129877.69	96573.21	133950.32	123518.30	66356.40	143987.11	83067.52	122350.67
Montipora_capitata_HIv3___Scaffold_9_599461	56.00	Montipora_capitata_HIv3___Scaffold_9_599461	56.00	0	0	5.00	1.00	26.00	10.00	10.00	4.00	0	0	1217.73	171.79	3903.32	1464.77	1329.08	642.26
Montipora_capitata_HIv3___Scaffold_9_606515	4197.00	Montipora_capitata_HIv3___Scaffold_9_606515	4197.00	315.00	561.00	747.00	840.00	559.00	768.00	267.00	140.00	183459.52	194184.84	181928.88	144305.10	83921.33	112494.51	35486.44	22479.13
Montipora_capitata_HIv3___Scaffold_9_611209	144.00	Montipora_capitata_HIv3___Scaffold_9_611209	144.00	0	0	2.00	17.00	25.00	19.00	35.00	46.00	0	0	487.09	2920.46	3753.19	2783.07	4651.78	7386.00
Montipora_capitata_HIv3___Scaffold_9_617400	38.00	Montipora_capitata_HIv3___Scaffold_9_617400	38.00	0	0	1.00	13.00	13.00	8.00	3.00	0	0	0	243.55	2233.29	1951.66	1171.82	398.72	0
Montipora_capitata_HIv3___Scaffold_9_618173	2413.00	Montipora_capitata_HIv3___Scaffold_9_618173	2413.00	209.00	188.00	446.00	478.00	423.00	380.00	217.00	72.00	121723.94	65074.42	108621.53	82116.47	63503.98	55661.34	28841.04	11560.69
