"","MEpink","MEblue","MEmagenta","MEred","MEdarkgreen","MEdarkorange","MEorange","MEblack","MEcyan","MEpaleturquoise","MEdarkturquoise","MEskyblue","MEmidnightblue","MEgreen","MElightgreen","MElightyellow","MEsaddlebrown"
"M6",-0.150194666929875,-0.183962989039071,-0.236087723758819,-0.224328367728871,0.0162378634183316,0.100584903931193,0.116123774298914,0.207602897697202,0.204408660821402,-0.100427926446208,-0.0732752672270402,0.0481293173178304,0.180828938215007,0.200964931635453,0.115279925425371,-0.0012695062517876,-0.155237409516498
"M7",-0.154752596578317,-0.175796554336402,-0.23310908281385,-0.221076503828709,0.0225393746997727,0.108936379352027,0.097139758983155,0.202757905084239,0.195886768352155,-0.0372650573188281,-0.0450373995953217,0.0505315589068647,0.175546628535676,0.195101077510198,0.125469955776999,0.00855011476531618,-0.15374313102549
"M8",-0.148776906602001,-0.182044750468328,-0.233307694283449,-0.225190894913589,0.0134097331540135,0.120983311947822,0.110473734993088,0.210671886848422,0.19345759551254,-0.0343852523567357,-0.0506137790355645,0.0734656459414039,0.170697551736617,0.199607791139006,0.119590543421478,-0.00481301864147753,-0.151766673320082
"M9",-0.147687735566354,-0.16421136464993,-0.229961210220192,-0.228051426637998,0.0331472139054312,0.130972355699091,0.105042863745667,0.220452679513993,0.193711192212447,-0.0336743031077011,-0.0553781105013487,0.0714212872682607,0.157946059185926,0.203205860924408,0.114320881559448,-0.0113655830641651,-0.143398907876966
"M10",-0.178715814510613,-0.16031598394319,-0.273619712680387,-0.310138127654564,0.159631392558473,0.389439361876787,0.160672084273872,0.313367553144524,0.115809156802216,0.436840962719996,0.0506128260945825,0.292220128441122,-0.146827544745553,0.171514305818413,0.0531304777371368,-0.228828548430202,-0.178808411434567
"M11",-0.160560230922004,-0.070476719324356,-0.265534326947586,-0.31348453762863,0.208200584179782,0.467656356997687,0.152003645303897,0.324967122286747,0.110396793214735,0.688046141257947,0.161849590998007,0.421244848447093,-0.232755228376948,0.160708620653853,0.0516223386388618,-0.29526213293143,-0.173284190351666
"M13",-0.152785036216288,-0.178631251649104,-0.238551815098371,-0.258418451810266,0.0962528275774185,0.252626124879421,0.128380715389249,0.264105448631312,0.167958277004298,0.15252162340751,-0.0332226459711905,0.129305914487066,0.0174741740147974,0.187307483224138,0.0679717905295129,-0.118518348411733,-0.159761102060404
"M14",0.222603268269536,-0.0345855171889907,0.0188989933019962,-0.09631451598487,0.15519135616831,0.0682250973681291,0.179927761208245,0.014884066030873,0.00891859611277157,-0.0168987167638763,-0.235195006121221,-0.127300953299751,-0.142008269315422,-0.075347516882454,-0.201481776113423,-0.239049780423198,-0.155769865787003
"M23",-0.152117490518518,-0.138336691507275,-0.193819664783723,-0.131117682309416,-0.0402765299315199,0.0243566151834277,0.075347133485282,0.175757335191029,0.212175694003148,-0.176557343609897,-0.0634475175303904,0.000775525020076689,0.243516636708146,0.206026564531881,0.146097129479553,0.0887724318870732,0.271043507787884
"M24",-0.161372429306029,-0.160298110604679,-0.210230766407842,-0.152957936322664,-0.00938722960744672,0.113068185961039,0.0981450063732568,0.21092347249175,0.204934379933984,-0.013792737444108,-0.0262597779641983,0.0925740587784822,0.180681006418772,0.205448918817337,0.1302524766756,0.0287139324836885,0.257446676058354
"M26",-0.124953520036746,0.0313151200753623,-0.15183559137844,-0.108988071015079,-0.0322887700465219,0.0837454956020253,0.0680859592822364,0.199547008740067,0.18964001924974,-0.00518362714711683,-0.0261270748228438,0.0793093654436483,0.176583483484607,0.200735887340193,0.125155100666217,0.0324669705948557,0.321454036271492
"M28",-0.166883968933594,-0.138950612509231,-0.181337499719988,-0.0838209576027943,-0.0833747798179673,0.0295063141725907,0.0755869366711375,0.174220418561917,0.206749762196482,-0.0263026220067571,-0.00112259818238959,0.0896956989819617,0.216948139604755,0.206725543020797,0.158443132547693,0.089282953134438,0.349879724960367
"M35",-0.149790549472088,-0.0697489504763344,-0.0341235726511633,0.173815720434168,-0.317147988251993,-0.309884954000163,-0.0787875843934824,-0.0599780717012583,0.120146402278149,-0.0548451745324668,0.186524897170681,0.127709409110185,0.287025961584854,0.146157974757492,0.253891472460885,0.307644083159635,0.311829060144601
"M36",-0.155967372367103,-0.0605591355859779,-0.0515900099129843,0.144504226038724,-0.315906950357201,-0.284770004092286,-0.067900782748023,-0.0432826457217526,0.135915453138886,-0.022773855975567,0.174442443653044,0.126197516885565,0.275540884965974,0.150634922886768,0.236196510752225,0.285209366953166,0.296845849754914
"M37",-0.132669480119129,0.00612703505038773,-0.0183220788884423,0.185129960545518,-0.334474341396479,-0.332758346236313,-0.0999776542128896,-0.0831402675667653,0.121772633637939,-0.0589041728701308,0.204835489971628,0.105660291923761,0.274094931934275,0.127907901318115,0.239237764789837,0.319747799683395,0.271949453552044
"M39",-0.139676965200723,-0.0569669204314876,0.0395153974569497,0.272895610954912,-0.392925625154883,-0.369515151228853,-0.160597377400919,-0.174147844955051,0.00883032138976722,0.0158207978893235,0.311249053380386,0.177387614720657,0.236476375222971,0.0735596139663248,0.260933463934141,0.363654995963395,0.178186887564917
"M47",0.155667891070962,0.534561946716528,0.217892835448787,0.109430821444162,0.0426400323552872,-0.0189177608342529,-0.154829690420729,-0.0688744226850516,-0.18038750285874,-0.119575413770591,-0.0757843181423339,-0.14808730908967,-0.183908931248332,-0.136483473589294,-0.143223286468883,-0.0752101223428613,0.0729546732094071
"M48",0.0517636008933144,0.478793440321802,0.186817849000793,0.213716502004314,-0.178982199889269,-0.138477759390663,-0.254196156594394,-0.108008647500205,-0.220825194352609,0.0227945633508964,0.170599644817371,0.0814699040052766,-0.0809632798275563,-0.0576350981472823,0.0593322725506731,0.126175832832219,0.107714707922668
"M51",-0.0617913970198537,-0.0237537844123574,0.16126150482153,0.247358945948254,-0.183209087186713,-0.0951518235780709,-0.335377617743627,-0.197303174306221,-0.306326481461131,0.137380640924765,0.298567135620989,0.148789055201708,-0.0858900925598943,-0.106408083711421,0.088752429061106,0.189231719716487,-0.0325830255919094
"M52",-0.0558904176564051,-0.050273984471128,0.152614233374544,0.273816755579209,-0.199593613819476,-0.127969614216638,-0.327938309047418,-0.219726870655355,-0.311667469211283,0.00627558235240984,0.275318087385477,0.0897861077535158,-0.0471017146937695,-0.104206654295796,0.103627866280589,0.236281096055988,-0.0197088484166761
"M60",-0.0134998866247399,-0.028333631621595,0.169121002761603,0.225738717978441,-0.0929777160372751,-0.076506895980772,-0.300018171126934,-0.202204621829125,-0.300781049232847,-0.0120082084609726,0.184071797970117,0.0138521158068224,-0.0982147601372406,-0.143092203741223,0.0213585330848128,0.144497855919395,-0.0352501358716866
"M61",-0.0955304645999312,-0.0497574281510064,-0.0250251985934396,-0.0328255847384006,-0.0648520551772299,0.0215494323600979,-0.0655799081875231,0.0638178218949229,0.0145265394552084,0.0296080511691541,0.0346433061657394,0.0214600292134308,0.0331271264156692,0.0692535823201253,0.0287596445205499,-0.00963465760808878,-0.12025229046657
"M62",0.00388331876967343,-0.0142626837771886,0.18428750207915,0.19206940919353,-0.0391307521313199,-0.036316769413831,-0.285333208132997,-0.200508254350368,-0.305032217957511,0.0616127325562538,0.169375518318913,0.00450163761419555,-0.1437410492267,-0.174199301420626,-0.0364357284754794,0.0898103526229273,-0.0656276759453266
"M63",0.0850552929378748,0.414509521613282,0.228242455831289,0.109101466171154,0.0248709383557253,0.0603836440573142,-0.226202835523761,-0.0805681177738962,-0.235083058902542,0.14223553822639,0.0767826855912906,0.0115643780772589,-0.204716492000782,-0.136238279527998,-0.116686444288197,-0.0658948938109177,0.00455332694587022
"M72",0.188431463769783,0.0316300827305797,0.166913872263501,0.0687166868883671,0.165168553251139,-0.0397406656494498,0.0467281135240262,-0.164623073738394,-0.114040484161051,-0.20191201599882,-0.154976333392606,-0.246013164337116,-0.129376717189043,-0.215641238747352,-0.206381351488669,-0.0908636726748143,-0.113724085147166
"M73",0.158342753249862,0.129760948470285,0.184709242560485,0.0554617156515668,0.14648935151103,-0.0244552862464633,-0.00541701600782619,-0.150646140819747,-0.128147278481277,-0.0421761216721771,-0.0975603799347621,-0.191269772850504,-0.190461745905233,-0.214615369180995,-0.227069674863023,-0.121106775256293,-0.0947985892246979
"M74",0.149843682856095,0.0598362612577154,0.172471104693782,0.045675370494587,0.153366159820015,-0.00480470505866314,-0.0113903956152452,-0.144529323241801,-0.122888618507687,0.000129883325994451,-0.082969343054098,-0.154578720270103,-0.17359019620876,-0.209092931244871,-0.208191551474544,-0.119092686993672,-0.118753920897243
"M75",0.156187193704515,0.117691735081663,0.17366410648938,0.0583266224153163,0.144625242001481,-0.00332991341234193,-0.0274518724010957,-0.159798648027756,-0.144494562197449,0.0471845526259448,-0.0464638106442647,-0.139751313164251,-0.197500678985361,-0.23067317614729,-0.235852361693981,-0.128680847852419,-0.0939924404650603
"M85",0.343416753262477,0.0462371378107726,0.13175759552604,0.006786824170929,0.221283841916456,-0.0296562023178352,0.251773314363508,-0.130669541862226,-0.00505646030546835,-0.231401477705713,-0.31836395518944,-0.320239577755187,-0.132396375912495,-0.223809888341217,-0.275473282281447,-0.194971243585725,-0.113942374659857
"M86",0.350012305821464,0.0508485319739956,0.130794239262267,-0.00983113004629652,0.23168314398038,-0.0197342252199145,0.262218606971659,-0.121752413649848,0.00429299940994128,-0.185180070172605,-0.322654009458626,-0.319877661531581,-0.143892060947581,-0.228076166947064,-0.295673875526039,-0.215404420099555,-0.124971788458933
"M87",0.30599136832405,0.0312752506701614,0.135187988732945,0.0129091578009492,0.215142448354367,-0.0400463783556361,0.214065151273669,-0.140571066254799,-0.0259159786420953,-0.195666314333325,-0.278660648649185,-0.312232105973001,-0.145267509290776,-0.220632178860289,-0.271102366910115,-0.188527306969274,-0.115651942333694
"M88",0.332418036250706,0.00868005237509433,0.122306024533633,0.00108967450804864,0.234647581597881,-0.0199971241565063,0.259284019416001,-0.132742469477378,-0.00888488845412016,-0.171520658112988,-0.311760501721401,-0.29770083107502,-0.147875251456602,-0.228709419079328,-0.281852010308889,-0.201545960424367,-0.122831095321024
